,State,Theater,Address,XD,Loungers,Seating,Menu,Alcohol,Total,Food/Bar,lats,longs
139,Nevada,Century 18 Sam's Town,"5111 Boulder Hwy., Las Vegas NV 89122",,,1,,,1,,36.1128952,-115.0623534
140,Nevada,Century Orleans 18 and XD,"4500 West Tropicana Blvd., Las Vegas NV 89103",1,1,,,,1,,36.1025498,-115.2016926
141,Nevada,Century 16 South Point and XD,"9777 Las Vegas Blvd. South, Las Vegas NV 89183",1,,1,,,1,,36.0114211,-115.1752012
142,Nevada,Century 16 Suncoast,"9090 Alta Dr., Las Vegas NV 89144",,,1,,,1,,36.1691517,-115.2913521
143,Nevada,Century 16 Santa Fe Station and XD,"4949 N. Rancho, Las Vegas NV 89130",1,1,1,,,1,,36.2498922,-115.2441383
144,Nevada,Century Park Lane 16,"210 East Plumb Ln., Reno NV 89502",,,,,,1,,39.5028003,-119.7977892
145,Nevada,Century Riverside 12,"11 N. Sierra St., Reno NV 89501",,,1,,,1,,39.525041,-119.814339
146,Nevada,Century Summit Sierra ,"Summit Sierra Shopping Center, Reno NV 89511",,1,1,,,1,,39.4041094,-119.7502818
147,New Mexico,Century Rio 24 Plex and XD,"4901 Pan American Fwy. NE, Albuquerque NM 87109",1,1,,,,1,,35.1420667,-106.602146
148,New Mexico,Century 14 Downtown Albuquerque,"100 Central Ave. SW, Albuquerque NM 87102",,,1,,,1,,35.0837146,-106.6483663
149,New Mexico,Cinemark Movies 8,"4591 San Mateo Blvd. Ne, Albuquerque NM 87109",,,,,,1,,35.1352703,-106.58957
150,New Mexico,Cinemark Movies West,"9201 Coors Rd N.W., Albuquerque NM 87114",,,,,,1,,35.1822149,-106.6682775
151,New Jersey,Cinemark Hazlet 12,"2821 Highway 35, Hazlet NJ 07730",,1,,,,1,,40.4183723,-74.1688603
152,New Jersey,Cinemark 16 and XD,"Cooper Towne Center, Somerdale NJ 08083",1,1,,,,1,,39.8553305,-75.0208943
153,New York,Cinemark Tinseltown USA and IMAX,"2291 Buffalo Road, Rochester NY 14624",,1,1,,,1,,43.1428144,-77.7135786
154,North Carolina,Cinemark Asheboro,"400 Randolph Mall, Asheboro NC 27203",,,1,,,1,,35.7028609,-79.7868145
155,North Carolina,The Carolina Cinemark Asheville,"1640 Hendersonville Road, Asheville NC 28803",,1,,,1,1,1,35.5116185,-82.5247563
156,North Carolina,Cinemark Movie Bistro Charlotte,"9630 Monroe Road, Charlotte NC 28270",,1,1,1,1,1,1,35.1402853,-80.7412759
157,North Carolina,Cinemark Brassfield Cinema Ten ,"2101 New Garden Road, Greensboro NC 27410",,,,,,1,,36.1291926,-79.8585193
158,North Carolina,Cinemark Movies 10,"9508 Northeast Court, Matthews NC 28105",,,,,,1,,35.139582,-80.715159
159,North Carolina,Cinemark Raleigh Grande,"4840 Grove Barton Road, Raleigh NC 27613",,1,1,1,1,1,1,35.8721784,-78.7162657
160,North Carolina,Cinemark Tinseltown USA,"305 Faith Rd., Salisbury NC 28146",,,1,,,1,,35.6512381,-80.4624629
161,Ohio,The Greene 14+ IMAX,"4489 Glengarry Drive, Beavercreek OH 45440",,,1,1,1,1,,39.6933229,-84.1045037
162,Ohio,Cinemark Oakley Station and XD,"3025 Disney Street, Cincinnati OH 45209",1,1,1,1,1,1,1,39.16064,-84.4304779
163,Ohio,Cinemark Western Hills 14,"5870 Harrison Avenue, Cincinnati OH 45248",,1,,,,1,,39.1763714,-84.6399529
164,Ohio,Polaris 18 and XD,"1071 Gemini Place, Columbus OH 43240",1,1,1,,,1,,40.1466945,-82.9862455
165,Ohio,Cinemark Carriage Place Movies 12,"2570 Bethel Road, Columbus OH 43220",,,,,,1,,40.0667475,-83.0871669
166,Ohio,Cinemark Stoneridge Plaza Movies 16,"323 Stoneridge Lane, Gahanna OH 43230",,,1,,,1,,40.0515704,-82.8676498
167,Ohio,Huber Heights 16,"7737 Waynetowne Blvd, Huber Heights OH 45424",,1,1,,,1,,39.8690019,-84.1435685
168,Ohio,Cinemark River Valley Mall and XD,"1611 River Valley Circle S, Lancaster OH 43130",1,,1,,,1,,39.7302696,-82.6287625
169,Ohio,Cinemark Miami Valley,"1020 Garbry Road, Piqua OH 45356",,,,,,1,,40.1464154,-84.2198992
170,Ohio,Milford 16,"500 Rivers Edge Drive, Milford OH 45150",,,1,,,1,,39.1633433,-84.2705115
171,Ohio,Cinemark Dayton South 16 and XD,"195 Mall Woods Dr., West Carrollton OH 45449",1,1,1,1,1,1,1,39.6432315,-84.2287029
172,Ohio,Cinemark Colony Square Mall,"Colony Square Mall, Zanesville OH 43701",,,1,,,1,,39.9876199,-82.0270863
173,Ohio,Cinemark Carnation Cinema 5,"2500 W. State St., Alliance OH 44601",,,,,,1,,40.8993961,-81.1538873
174,Ohio,Cinemark 10 Aurora,"140 Barrington Town Square Dr., OH 44202",,,1,,,1,,41.3190405,-81.3487681
175,Ohio,Cinemark Tinseltown,"7401 Market Street, Boardman OH 44512",,1,1,,,1,,41.0211588,-80.6587026
